#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","PYGN01000061.1",1212665,1214161,"-",,,"C0J52_28497","PSN55726.1",498,"hypothetical protein C0J52_28497, partial"
"Un","PYGN01000249.1",126879,138533,"-",,,"C0J52_11961","PSN50158.1",131,"hypothetical protein C0J52_11961, partial"
"Un","PYGN01000249.1",150998,202964,"+",,"DPP8","C0J52_11962","PSN50155.1",845,"Dipeptidyl peptidase 8"
"Un","PYGN01000249.1",224427,224918,"-",,"mRpL51","C0J52_11963","PSN50156.1",163,"39S ribosomal protein L51"
"Un","PYGN01000249.1",434792,435094,"+",,,"C0J52_11964","PSN50153.1",100,"hypothetical protein C0J52_11964"
"Un","PYGN01000249.1",438619,455436,"+",,,"C0J52_11965","PSN50154.1",68,"hypothetical protein C0J52_11965"
"Un","PYGN01000249.1",473997,508680,"+",,,"C0J52_11966","PSN50151.1",953,"hypothetical protein C0J52_11966"
"Un","PYGN01000249.1",509858,518969,"+",,,"C0J52_11967","PSN50152.1",65,"hypothetical protein C0J52_11967"
"Un","PYGN01000249.1",525557,538091,"-",,"Snrnp27","C0J52_11968","PSN50159.1",127,"U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein"
"Un","PYGN01000249.1",531474,538179,"+",,,"C0J52_11969","PSN50160.1",116,"hypothetical protein C0J52_11969"
"Un","PYGN01000249.1",551432,580658,"-",,,"C0J52_11971","PSN50165.1",288,"hypothetical protein C0J52_11971"
"Un","PYGN01000249.1",576869,581998,"+",,,"C0J52_11970","PSN50166.1",304,"Protein TAPT1"
"Un","PYGN01000249.1",581357,651238,"-",,,"C0J52_11972","PSN50168.1",281,"hypothetical protein C0J52_11972"
"Un","PYGN01000249.1",882820,883125,"-",,,"C0J52_11973","PSN50167.1",79,"hypothetical protein C0J52_11973"
"Un","PYGN01000249.1",921237,957257,"-",,,"C0J52_11974","PSN50162.1",966,"hypothetical protein C0J52_11974"
"Un","PYGN01000249.1",1026691,1027326,"-",,,"C0J52_11975","PSN50161.1",211,"hypothetical protein C0J52_11975"
"Un","PYGN01000249.1",1047653,1048027,"+",,,"C0J52_11976","PSN50164.1",124,"hypothetical protein C0J52_11976"
"Un","PYGN01000249.1",1265399,1327494,"-",,,"C0J52_11977","PSN50163.1",208,"hypothetical protein C0J52_11977, partial"
"Un","PYGN01000249.1",1281182,1281544,"+",,,"C0J52_11978","PSN50169.1",120,"hypothetical protein C0J52_11978"
"Un","PYGN01000250.1",5704,82888,"+",,,"C0J52_15089","PSN50149.1",222,"hypothetical protein C0J52_15089, partial"
"Un","PYGN01000250.1",175535,177201,"+",,,"C0J52_15090","PSN50136.1",128,"hypothetical protein C0J52_15090"
"Un","PYGN01000250.1",211655,211843,"+",,,"C0J52_15091","PSN50137.1",62,"hypothetical protein C0J52_15091"
"Un","PYGN01000250.1",252863,253123,"+",,,"C0J52_15092","PSN50134.1",86,"hypothetical protein C0J52_15092"
"Un","PYGN01000250.1",286206,409044,"+",,,"C0J52_15093","PSN50135.1",434,"hypothetical protein C0J52_15093"
"Un","PYGN01000250.1",418699,439380,"+",,,"C0J52_15094","PSN50140.1",893,"hypothetical protein C0J52_15094"
"Un","PYGN01000250.1",497612,546325,"+",,,"C0J52_15095","PSN50141.1",954,"hypothetical protein C0J52_15095"
"Un","PYGN01000250.1",566043,583244,"-",,,"C0J52_15096","PSN50138.1",189,"hypothetical protein C0J52_15096"
"Un","PYGN01000143.1",1067978,1078626,"+",,,"C0J52_03621","PSN52970.1",232,"hypothetical protein C0J52_03621"
"Un","PYGN01000143.1",1081859,1093101,"+",,,"C0J52_03622","PSN52960.1",60,"hypothetical protein C0J52_03622, partial"
"Un","PYGN01000143.1",1140161,1140385,"+",,,"C0J52_03623","PSN52961.1",74,"hypothetical protein C0J52_03623"
"Un","PYGN01000143.1",1202252,1212157,"+",,,"C0J52_03624","PSN52969.1",326,"hypothetical protein C0J52_03624, partial"
"Un","PYGN01000143.1",1216734,1225743,"+",,,"C0J52_03625","PSN52959.1",473,"hypothetical protein C0J52_03625"
"Un","PYGN01000143.1",1235335,1238263,"-",,"NUDC_1","C0J52_03626","PSN52967.1",151,"Nuclear migration protein nudC"
"Un","PYGN01000143.1",1319524,1341922,"+",,,"C0J52_03627","PSN52968.1",191,"hypothetical protein C0J52_03627"
"Un","PYGN01000143.1",1346900,1357511,"-",,"NUDC_0","C0J52_03628","PSN52957.1",160,"Nuclear migration protein nudC"
"Un","PYGN01000143.1",1358813,1365005,"+",,,"C0J52_03629","PSN52958.1",423,"hypothetical protein C0J52_03629"
"Un","PYGN01000143.1",1376816,1420599,"-",,,"C0J52_03630","PSN52938.1",1455,"hypothetical protein C0J52_03630"
"Un","PYGN01000143.1",1420920,1425299,"+",,"uprt","C0J52_03631","PSN52937.1",228,"Uracil phosphoribosyltransferase"
"Un","PYGN01000143.1",1438408,1451620,"-",,"Sh3beta","C0J52_03632","PSN52940.1",149,"SH3 domain-binding glutamic acid-rich protein"
"Un","PYGN01000143.1",1462563,1476803,"+",,"Rrp1","C0J52_03634","PSN52934.1",499,"Recombination repair protein 1"
"Un","PYGN01000143.1",1486521,1496694,"-",,"Trappc3","C0J52_03633","PSN52939.1",178,"Trafficking protein particle complex subunit 3"
"Un","PYGN01000143.1",1500733,1549373,"+",,,"C0J52_03635","PSN52933.1",946,"hypothetical protein C0J52_03635"
"Un","PYGN01000143.1",1551211,1559361,"-",,"Echdc2","C0J52_03636","PSN52936.1",306,"Enoyl-CoA hydratase domain-containing protein 2"
"Un","PYGN01000143.1",1620267,1620536,"-",,,"C0J52_03637","PSN52935.1",89,"hypothetical protein C0J52_03637"
"Un","PYGN01000143.1",1645687,1681654,"-",,"cpsf5","C0J52_03638","PSN52932.1",233,"Cleavage and polyadenylation specificity factor subunit 5"
"Un","PYGN01000143.1",1682189,1684287,"+",,"SmD1","C0J52_03639","PSN52931.1",94,"putative small nuclear ribonucleoprotein Sm D1"
"Un","PYGN01000143.1",1700759,1739905,"-",,,"C0J52_03640","PSN52945.1",1651,"hypothetical protein C0J52_03640"
"Un","PYGN01000143.1",1787269,1791070,"-",,,"C0J52_03641","PSN52946.1",80,"Uncharacterized protein C0J52_03641"
"Un","PYGN01000143.1",1791101,1794485,"+",,,"C0J52_03642","PSN52947.1",93,"hypothetical protein C0J52_03642"
"Un","PYGN01000143.1",1801658,1811096,"-",,,"C0J52_03643","PSN52948.1",215,"hypothetical protein C0J52_03643"
"Un","PYGN01000143.1",1812359,1822488,"+",,"Gmd","C0J52_03644","PSN52941.1",362,"GDP-mannose 4"
"Un","PYGN01000143.1",1846049,1849659,"+",,,"C0J52_03645","PSN52942.1",292,"hypothetical protein C0J52_03645"
"Un","PYGN01000143.1",1955453,1959700,"-",,"Dat_5","C0J52_03646","PSN52943.1",220,"Dopamine N-acetyltransferase"
"Un","PYGN01000143.1",1963048,1963677,"-",,,"C0J52_03647","PSN52944.1",209,"hypothetical protein C0J52_03647"
"Un","PYGN01000143.1",1973045,1973269,"-",,"Dat_0","C0J52_03648","PSN52949.1",74,"Dopamine N-acetyltransferase"
"Un","PYGN01000143.1",1974679,1975320,"-",,"Dat_2","C0J52_03649","PSN52950.1",213,"Dopamine N-acetyltransferase"
"Un","PYGN01000143.1",2010662,2011297,"-",,"Dat_3","C0J52_03650","PSN52966.1",211,"Dopamine N-acetyltransferase"
"Un","PYGN01000143.1",2245686,2246978,"-",,,"C0J52_03651","PSN52965.1",430,"hypothetical protein C0J52_03651"
"Un","PYGN01000143.1",2364292,2364549,"-",,,"C0J52_03652","PSN52964.1",85,"hypothetical protein C0J52_03652"
"Un","PYGN01000144.1",21057,51160,"+",,,"C0J52_02973","PSN52904.1",274,"hypothetical protein C0J52_02973, partial"
"Un","PYGN01000144.1",69480,76988,"-",,"RpL13A","C0J52_02974","PSN52901.1",230,"60S ribosomal protein L13a"
"Un","PYGN01000144.1",79513,79686,"+",,,"C0J52_02975","PSN52900.1",57,"hypothetical protein C0J52_02975"
"Un","PYGN01000144.1",86102,105206,"-",,,"C0J52_02976","PSN52903.1",469,"hypothetical protein C0J52_02976"
"Un","PYGN01000144.1",133643,133900,"+",,,"C0J52_02977","PSN52902.1",85,"hypothetical protein C0J52_02977"
"Un","PYGN01000144.1",161948,162226,"+",,,"C0J52_02978","PSN52906.1",92,"hypothetical protein C0J52_02978"
"Un","PYGN01000144.1",202258,225850,"-",,"ARRH_1","C0J52_02979","PSN52905.1",281,"Arrestin"
"Un","PYGN01000144.1",272851,273080,"+",,,"C0J52_02980","PSN52911.1",63,"hypothetical protein C0J52_02980, partial"
"Un","PYGN01000001.1",7822,25396,"-",,"olf413_2","C0J52_00765","PSN58487.1",378,"MOXD1 2 protein"
"Un","PYGN01000001.1",7897,64195,"+",,,"C0J52_00766","PSN58485.1",300,"hypothetical protein C0J52_00766, partial"
"Un","PYGN01000001.1",363395,375462,"-",,,"C0J52_00767","PSN58486.1",345,"hypothetical protein C0J52_00767"
"Un","PYGN01000001.1",658833,663987,"+",,,"C0J52_00768","PSN58483.1",66,"hypothetical protein C0J52_00768"
"Un","PYGN01000001.1",824056,913706,"-",,,"C0J52_00769","PSN58484.1",1446,"hypothetical protein C0J52_00769, partial"
"Un","PYGN01000001.1",1263446,1276061,"-",,,"C0J52_00770","PSN58499.1",434,"hypothetical protein C0J52_00770"
"Un","PYGN01000001.1",1476833,1489201,"+",,,"C0J52_00771","PSN58498.1",344,"hypothetical protein C0J52_00771"
"Un","PYGN01000001.1",1500455,1526785,"+",,,"C0J52_00772","PSN58457.1",1150,"hypothetical protein C0J52_00772"
"Un","PYGN01000001.1",1632908,1673368,"-",,,"C0J52_00773","PSN58500.1",451,"hypothetical protein C0J52_00773"
"Un","PYGN01000001.1",1847521,1847910,"-",,,"C0J52_00774","PSN58501.1",129,"hypothetical protein C0J52_00774"
"Un","PYGN01000001.1",1930430,2129045,"+",,,"C0J52_00775","PSN58458.1",3753,"hypothetical protein C0J52_00775"
"Un","PYGN01000001.1",2023976,2025010,"-",,,"C0J52_00776","PSN58460.1",305,"hypothetical protein C0J52_00776"
"Un","PYGN01000001.1",2147770,2179518,"+",,,"C0J52_00777","PSN58459.1",1425,"hypothetical protein C0J52_00777"
"Un","PYGN01000001.1",2150637,2150952,"-",,,"C0J52_00778","PSN58456.1",68,"hypothetical protein C0J52_00778"
"Un","PYGN01000001.1",2190523,2208118,"+",,,"C0J52_00779","PSN58455.1",258,"hypothetical protein C0J52_00779"
"Un","PYGN01000001.1",2231965,2232276,"+",,,"C0J52_00780","PSN58461.1",83,"hypothetical protein C0J52_00780"
"Un","PYGN01000001.1",2276735,2332079,"+",,"Nipbl","C0J52_00781","PSN58462.1",1942,"Nipped-B-like protein"
"Un","PYGN01000001.1",2354115,2354327,"+",,,"C0J52_00782","PSN58463.1",70,"hypothetical protein C0J52_00782"
"Un","PYGN01000001.1",2360290,2397194,"+",,"aldh1l1","C0J52_00783","PSN58464.1",832,"Cytosolic 10-formyltetrahydrofolate dehydrogenase"
"Un","PYGN01000001.1",2472449,2477149,"+",,,"C0J52_00784","PSN58465.1",68,"hypothetical protein C0J52_00784"
"Un","PYGN01000001.1",2549269,2554591,"-",,,"C0J52_00785","PSN58466.1",87,"hypothetical protein C0J52_00785"
"Un","PYGN01000001.1",2579563,2599123,"-",,"LEMD3","C0J52_00786","PSN58467.1",321,"Inner nuclear membrane protein Man1"
"Un","PYGN01000001.1",2660898,2676596,"-",,"vps26bl","C0J52_00787","PSN58468.1",357,"Vacuolar sorting-associated 26B-like protein"
"Un","PYGN01000001.1",2690176,2718154,"-",,,"C0J52_00788","PSN58469.1",1118,"hypothetical protein C0J52_00788"
"Un","PYGN01000001.1",2853444,2878996,"-",,,"C0J52_00789","PSN58470.1",260,"Coiled-coil domain-containing protein 130"
"Un","PYGN01000001.1",2896435,2904701,"-",,"FTSJ1_0","C0J52_00790","PSN58508.1",286,"putative tRNA (cytidine(32)/guanosine(34)-2\\'-O)-methyltransferase"
"Un","PYGN01000001.1",2919942,2920899,"-",,,"C0J52_00791","PSN58507.1",293,"hypothetical protein C0J52_00791"
"Un","PYGN01000001.1",2935868,2953671,"-",,,"C0J52_00792","PSN58482.1",170,"hypothetical protein C0J52_00792, partial"
"Un","PYGN01000001.1",2958681,2974354,"-",,,"C0J52_00793","PSN58506.1",469,"hypothetical protein C0J52_00793"
"Un","PYGN01000001.1",2990962,3024234,"-",,"Ptp99A","C0J52_00794","PSN58505.1",554,"Tyrosine-protein phosphatase 99A"
"Un","PYGN01000001.1",3111093,3111296,"+",,,"C0J52_00795","PSN58504.1",67,"hypothetical protein C0J52_00795"
"Un","PYGN01000001.1",3192185,3192370,"+",,,"C0J52_00796","PSN58503.1",61,"hypothetical protein C0J52_00796"
"Un","PYGN01000001.1",3680317,3680505,"-",,,"C0J52_00797","PSN58502.1",62,"hypothetical protein C0J52_00797"
"Un","PYGN01000001.1",4225328,4225855,"+",,,"C0J52_00798","PSN58510.1",175,"hypothetical protein C0J52_00798"
"Un","PYGN01000001.1",4329331,4329531,"-",,,"C0J52_00799","PSN58509.1",66,"hypothetical protein C0J52_00799"
"Un","PYGN01000001.1",4329564,4329875,"-",,,"C0J52_00800","PSN58481.1",103,"hypothetical protein C0J52_00800"
"Un","PYGN01000001.1",4330021,4330233,"-",,,"C0J52_00801","PSN58480.1",70,"hypothetical protein C0J52_00801"
"Un","PYGN01000001.1",4661014,4681465,"-",,,"C0J52_00802","PSN58479.1",184,"hypothetical protein C0J52_00802"
"Un","PYGN01000001.1",4841425,4841706,"-",,,"C0J52_00803","PSN58478.1",85,"hypothetical protein C0J52_00803"
"Un","PYGN01000001.1",5009176,5009394,"-",,,"C0J52_00804","PSN58476.1",72,"hypothetical protein C0J52_00804"
"Un","PYGN01000061.1",1225064,1226815,"-",,,"C0J52_09005","PSN55718.1",583,"hypothetical protein C0J52_09005"
"Un","PYGN01000061.1",1241933,1243612,"-",,,"C0J52_09006","PSN55719.1",559,"hypothetical protein C0J52_09006"
"Un","PYGN01000061.1",1254857,1270113,"-",,"Or57a","C0J52_38836","PSN55723.1",462,"Odorant receptor 57a"
"Un","PYGN01000061.1",1381511,1381777,"-",,,"C0J52_09008","PSN55720.1",88,"hypothetical protein C0J52_09008"
"Un","PYGN01000061.1",1381905,1382859,"-",,,"C0J52_09009","PSN55721.1",100,"hypothetical protein C0J52_09009"
"Un","PYGN01000061.1",1393163,1393387,"+",,,"C0J52_09010","PSN55702.1",74,"hypothetical protein C0J52_09010"
"Un","PYGN01000061.1",1394110,1486798,"-",,,"C0J52_09011","PSN55701.1",367,"hypothetical protein C0J52_09011"
"Un","PYGN01000061.1",1483199,1483369,"+",,,"C0J52_09012","PSN55700.1",56,"hypothetical protein C0J52_09012"
"Un","PYGN01000061.1",1487857,1488087,"-",,,"C0J52_09013","PSN55699.1",76,"hypothetical protein C0J52_09013"
"Un","PYGN01000061.1",1609455,1743186,"+",,,"C0J52_09014","PSN55698.1",205,"hypothetical protein C0J52_09014"
"Un","PYGN01000061.1",1772804,1773388,"-",,,"C0J52_09015","PSN55697.1",194,"hypothetical protein C0J52_09015"
"Un","PYGN01000061.1",1914910,1915106,"+",,,"C0J52_09016","PSN55696.1",57,"hypothetical protein C0J52_09016"
"Un","PYGN01000061.1",1928177,1928555,"+",,,"C0J52_09017","PSN55695.1",66,"hypothetical protein C0J52_09017, partial"
"Un","PYGN01000061.1",2022024,2028709,"-",,"Or56","C0J52_38837","PSN55722.1",611,"Odorant receptor 56"
"Un","PYGN01000061.1",2057504,2069509,"+",,,"C0J52_09019","PSN55703.1",69,"hypothetical protein C0J52_09019"
"Un","PYGN01000061.1",2220202,2220471,"+",,,"C0J52_09020","PSN55711.1",89,"hypothetical protein C0J52_09020"
"Un","PYGN01000061.1",2376308,2376517,"-",,,"C0J52_09021","PSN55712.1",69,"hypothetical protein C0J52_09021"
"Un","PYGN01000061.1",2490345,2490506,"-",,"H3","C0J52_09022","PSN55709.1",53,"histone H3"
"Un","PYGN01000061.1",2781092,2781469,"+",,,"C0J52_09023","PSN55710.1",54,"hypothetical protein C0J52_09023"
"Un","PYGN01000061.1",2786744,2787100,"+",,,"C0J52_09024","PSN55707.1",118,"hypothetical protein C0J52_09024"
"Un","PYGN01000061.1",2806782,2821242,"-",,,"C0J52_09025","PSN55708.1",2201,"hypothetical protein C0J52_09025"
"Un","PYGN01000062.1",10971,28356,"-",,"fdxr","C0J52_03167","PSN55681.1",415,"NADPH:adrenodoxin oxidoreductase"
"Un","PYGN01000062.1",17107,53467,"+",,,"C0J52_03166","PSN55682.1",178,"hypothetical protein C0J52_03166"
"Un","PYGN01000062.1",55625,56125,"+",,,"C0J52_03168","PSN55680.1",144,"hypothetical protein C0J52_03168"
"Un","PYGN01000062.1",75900,101695,"+",,,"C0J52_03169","PSN55679.1",1458,"hypothetical protein C0J52_03169, partial"
"Un","PYGN01000062.1",134469,134750,"-",,"Drs_6","C0J52_03170","PSN55662.1",93,"Drosomycin"
"Un","PYGN01000062.1",141391,141591,"+",,"Drs_3","C0J52_03171","PSN55663.1",66,"Drosomycin"
"Un","PYGN01000062.1",141391,141591,"+",,"Drs_3","C0J52_03171","PSN55664.1",66,"Drosomycin"
"Un","PYGN01000062.1",173572,173757,"-",,,"C0J52_03172","PSN55660.1",61,"hypothetical protein C0J52_03172"
"Un","PYGN01000062.1",174198,174362,"+",,,"C0J52_03173","PSN55661.1",54,"hypothetical protein C0J52_03173"
"Un","PYGN01000062.1",432581,434485,"-",,"Ir457","C0J52_38844","PSN55692.1",634,"Ionotropic receptor 457"
"Un","PYGN01000062.1",435517,437367,"-",,"Ir456","C0J52_38843","PSN55691.1",616,"Ionotropic receptor 456"
"Un","PYGN01000062.1",450821,452689,"-",,"Ir452","C0J52_38838","PSN55683.1",622,"Ionotropic receptor 452"
"Un","PYGN01000062.1",469955,471844,"+",,"Ir460","C0J52_38848","PSN55694.1",629,"Ionotropic receptor 460"
"Un","PYGN01000062.1",486417,488264,"+",,"Ir462","C0J52_38846","PSN55693.1",615,"Ionotropic receptor 462"
"Un","PYGN01000062.1",683897,684151,"-",,,"C0J52_03174","PSN55667.1",84,"hypothetical protein C0J52_03174"
"Un","PYGN01000062.1",696089,703038,"+",,,"C0J52_03175","PSN55668.1",378,"hypothetical protein C0J52_03175"
"Un","PYGN01000062.1",787166,815372,"+",,,"C0J52_03177","PSN55666.1",60,"hypothetical protein C0J52_03177"
"Un","PYGN01000062.1",816431,821524,"-",,,"C0J52_03176","PSN55665.1",351,"hypothetical protein C0J52_03176"
"Un","PYGN01000062.1",821638,825262,"+",,"Cant1","C0J52_03178","PSN55658.1",422,"Soluble calcium-activated nucleotidase 1"
"Un","PYGN01000062.1",835936,850058,"+",,"ttc39c","C0J52_03179","PSN55659.1",639,"Tetratricopeptide repeat protein 39C"
"Un","PYGN01000250.1",583330,589400,"-",,,"C0J52_15097","PSN50139.1",152,"hypothetical protein C0J52_15097"
"Un","PYGN01000250.1",768645,1050207,"+",,,"C0J52_15098","PSN50132.1",237,"hypothetical protein C0J52_15098"
"Un","PYGN01000250.1",865934,867025,"-",,,"C0J52_15099","PSN50133.1",363,"hypothetical protein C0J52_15099"
"Un","PYGN01000250.1",914271,914807,"-",,,"C0J52_15100","PSN50142.1",178,"hypothetical protein C0J52_15100"
"Un","PYGN01000250.1",914271,914807,"-",,,"C0J52_15100","PSN50143.1",178,"hypothetical protein C0J52_15100"
"Un","PYGN01000250.1",914271,914807,"-",,,"C0J52_15100","PSN50144.1",178,"hypothetical protein C0J52_15100"
"Un","PYGN01000250.1",933306,933731,"-",,,"C0J52_15101","PSN50145.1",141,"hypothetical protein C0J52_15101"
"Un","PYGN01000250.1",989678,989905,"-",,,"C0J52_15102","PSN50146.1",75,"hypothetical protein C0J52_15102"
"Un","PYGN01000250.1",991783,1053145,"-",,,"C0J52_15103","PSN50147.1",234,"hypothetical protein C0J52_15103"
"Un","PYGN01000250.1",1055053,1113964,"-",,,"C0J52_15104","PSN50148.1",92,"hypothetical protein C0J52_15104, partial"
"Un","PYGN01000251.1",1275,12199,"+",,"SLC25A44","C0J52_04693","PSN50112.1",283,"Solute carrier family 25 member 44"
"Un","PYGN01000251.1",30838,93514,"+",,"ACO1","C0J52_04694","PSN50110.1",810,"Cytoplasmic aconitate hydratase"
"Un","PYGN01000251.1",85469,85636,"-",,,"C0J52_04695","PSN50111.1",55,"hypothetical protein C0J52_04695, partial"
"Un","PYGN01000251.1",121586,155039,"+",,,"C0J52_04696","PSN50108.1",366,"hypothetical protein C0J52_04696"
"Un","PYGN01000251.1",156090,184601,"+",,,"C0J52_04697","PSN50109.1",85,"hypothetical protein C0J52_04697"
"Un","PYGN01000251.1",157953,158345,"-",,,"C0J52_04698","PSN50113.1",130,"hypothetical protein C0J52_04698"
"Un","PYGN01000251.1",157953,158345,"-",,,"C0J52_04698","PSN50114.1",130,"hypothetical protein C0J52_04698"
"Un","PYGN01000251.1",157953,158345,"-",,,"C0J52_04698","PSN50115.1",130,"hypothetical protein C0J52_04698"
"Un","PYGN01000251.1",171722,182934,"-",,,"C0J52_04699","PSN50116.1",254,"hypothetical protein C0J52_04699"
"Un","PYGN01000251.1",192137,194714,"+",,"TRYP1_1","C0J52_04700","PSN50128.1",244,"Trypsin-1"
"Un","PYGN01000251.1",201026,201300,"-",,,"C0J52_04701","PSN50124.1",84,"hypothetical protein C0J52_04701, partial"
"Un","PYGN01000251.1",229825,230076,"+",,,"C0J52_04702","PSN50129.1",83,"hypothetical protein C0J52_04702"
"Un","PYGN01000251.1",243837,273207,"-",,"Or87","C0J52_39102","PSN50104.1",383,"Odorant receptor 87"
"Un","PYGN01000251.1",291295,317572,"-",,"Or86","C0J52_39105","PSN50107.1",382,"Odorant receptor 86"
"Un","PYGN01000251.1",329954,355885,"-",,"Or85","C0J52_39103","PSN50105.1",383,"Odorant receptor 85"
"Un","PYGN01000251.1",364129,375559,"-",,"Or84","C0J52_39104","PSN50106.1",383,"Odorant receptor 84"
"Un","PYGN01000251.1",408769,409248,"-",,,"C0J52_04705","PSN50125.1",159,"hypothetical protein C0J52_04705"
"Un","PYGN01000251.1",455453,506331,"+",,"ANPEP_0","C0J52_04706","PSN50126.1",752,"Aminopeptidase N"
"Un","PYGN01000251.1",503814,504037,"-",,,"C0J52_04707","PSN50127.1",67,"hypothetical protein C0J52_04707, partial"
"Un","PYGN01000251.1",511340,516434,"-",,,"C0J52_04708","PSN50130.1",129,"hypothetical protein C0J52_04708, partial"
"Un","PYGN01000251.1",562033,565856,"-",,,"C0J52_04709","PSN50131.1",251,"hypothetical protein C0J52_04709"
